Target Image: blackhole2
Final Best MSE: 1073.98
--------------------------------
Evolutionary History for blackhole2
=========================================
Generation 0 | MSE: 3845.80 | Genotype: 
Layer 3 -> c: -1.000+0.132i | Offset X/Y: 0.31/0.67 | Zoom: 0.47
Layer 4 -> c: 0.916+0.110i | Offset X/Y: 0.39/-0.93 | Zoom: 1.16
Layer 5 -> c: -0.317-1.000i | Offset X/Y: -0.61/0.24 | Zoom: 0.51
Layer 6 -> c: 0.066+1.000i | Offset X/Y: 0.52/-0.77 | Zoom: 0.10

Generation 29 | MSE: 1780.42 | Genotype: 
Layer 1 -> c: -0.745+0.387i | Offset X/Y: 0.14/0.26 | Zoom: 1.04
Layer 2 -> c: -0.703-1.000i | Offset X/Y: -1.06/0.54 | Zoom: 0.60
Layer 3 -> c: -1.000+0.132i | Offset X/Y: 0.31/0.67 | Zoom: 0.47
Layer 4 -> c: 0.916+0.110i | Offset X/Y: 0.39/-0.93 | Zoom: 1.16
Layer 5 -> c: -0.317-1.000i | Offset X/Y: -0.61/0.24 | Zoom: 0.51
Layer 6 -> c: 0.066+1.000i | Offset X/Y: 0.52/-0.77 | Zoom: 0.10

Generation 30 | MSE: 1780.42 | Genotype: 
Layer 1 -> c: -0.745+0.387i | Offset X/Y: 0.14/0.26 | Zoom: 1.04
Layer 2 -> c: -0.703-1.000i | Offset X/Y: -1.06/0.54 | Zoom: 0.60
Layer 3 -> c: -1.000+0.132i | Offset X/Y: 0.31/0.67 | Zoom: 0.47
Layer 4 -> c: 0.916+0.110i | Offset X/Y: 0.39/-0.93 | Zoom: 1.16
Layer 5 -> c: -0.317-1.000i | Offset X/Y: -0.61/0.24 | Zoom: 0.51
Layer 6 -> c: 0.066+1.000i | Offset X/Y: 0.52/-0.77 | Zoom: 0.10

Generation 31 | MSE: 1780.42 | Genotype: 
Layer 1 -> c: -0.745+0.387i | Offset X/Y: 0.14/0.26 | Zoom: 1.04
Layer 2 -> c: -0.703-1.000i | Offset X/Y: -1.06/0.54 | Zoom: 0.60
Layer 3 -> c: -1.000+0.132i | Offset X/Y: 0.31/0.67 | Zoom: 0.47
Layer 4 -> c: 0.916+0.110i | Offset X/Y: 0.39/-0.93 | Zoom: 1.16
Layer 5 -> c: -0.317-1.000i | Offset X/Y: -0.61/0.24 | Zoom: 0.51
Layer 6 -> c: 0.066+1.000i | Offset X/Y: 0.52/-0.77 | Zoom: 0.10

Generation 32 | MSE: 1780.42 | Genotype: 
Layer 1 -> c: -0.745+0.387i | Offset X/Y: 0.14/0.26 | Zoom: 1.04
Layer 2 -> c: -0.703-1.000i | Offset X/Y: -1.06/0.54 | Zoom: 0.60
Layer 3 -> c: -1.000+0.132i | Offset X/Y: 0.31/0.67 | Zoom: 0.47
Layer 4 -> c: 0.916+0.110i | Offset X/Y: 0.39/-0.93 | Zoom: 1.16
