Target Image: butterfly_nebula
Final Best MSE: 744.45
--------------------------------
Evolutionary History for butterfly_nebula
=========================================
Generation 0 | MSE: 6546.82 | Genotype: 
Layer 7 -> c: -0.129+0.814i | Offset X/Y: 0.93/0.48 | Zoom: 0.23
Layer 8 -> c: 0.162-0.277i | Offset X/Y: 0.22/0.53 | Zoom: 0.76

Generation 13 | MSE: 1678.18 | Genotype: 
Layer 1 -> c: 0.457-0.242i | Offset X/Y: -2.09/0.24 | Zoom: 0.14
Layer 2 -> c: -0.665+1.000i | Offset X/Y: -0.16/0.25 | Zoom: 0.51
Layer 3 -> c: 0.030-0.260i | Offset X/Y: -0.41/-1.31 | Zoom: 0.42
Layer 4 -> c: 0.071+0.358i | Offset X/Y: 0.21/-0.68 | Zoom: 0.11
Layer 5 -> c: 0.811+1.000i | Offset X/Y: -1.56/1.08 | Zoom: 0.10
Layer 6 -> c: 0.002+0.023i | Offset X/Y: -0.69/-0.97 | Zoom: 0.93
Layer 7 -> c: -0.129+0.814i | Offset X/Y: 0.93/0.48 | Zoom: 0.23
Layer 8 -> c: 0.162-0.277i | Offset X/Y: 0.22/0.53 | Zoom: 0.76

Generation 14 | MSE: 1678.18 | Genotype: 
Layer 1 -> c: 0.457-0.242i | Offset X/Y: -2.09/0.24 | Zoom: 0.14
Layer 2 -> c: -0.665+1.000i | Offset X/Y: -0.16/0.25 | Zoom: 0.51
Layer 3 -> c: 0.030-0.260i | Offset X/Y: -0.41/-1.31 | Zoom: 0.42
Layer 4 -> c: 0.071+0.358i | Offset X/Y: 0.21/-0.68 | Zoom: 0.11
Layer 5 -> c: 0.811+1.000i | Offset X/Y: -1.56/1.08 | Zoom: 0.10
Layer 6 -> c: 0.002+0.023i | Offset X/Y: -0.69/-0.97 | Zoom: 0.93
Layer 7 -> c: -0.129+0.814i | Offset X/Y: 0.93/0.48 | Zoom: 0.23
Layer 8 -> c: 0.162-0.277i | Offset X/Y: 0.22/0.53 | Zoom: 0.76

Generation 15 | MSE: 1653.80 | Genotype: 
Layer 1 -> c: -0.903+0.782i | Offset X/Y: -0.36/0.60 | Zoom: 0.10
Layer 2 -> c: -0.035+0.027i | Offset X/Y: -0.59/-0.13 | Zoom: 0.10
Layer 3 -> c: 0.403-0.496i | Offset X/Y: 0.47/-1.14 | Zoom: 0.92
Layer 4 -> c: 0.254-0.830i | Offset X/Y: -0.34/-0.54 | Zoom: 0.13
Layer 5 -> c: 0.816-0.508i | Offset X/Y: -1.15/0.49 | Zoom: 0.45
Layer 6 -> c: -0.818-0.746i | Offset X/Y: -0.79/1.33 | Zoom: 0.27
Layer 7 -> c: -0.698+0.558i | Offset X/Y: 0.72/-0.71 | Zoom: 0.30
Layer 8 -> c: -0.903+0.061i | Offset X/Y: -0.81/-1.02 | Zoom: 0.67

Generation 16 | MSE: 1653.80 | Genotype: 
Layer 1 -> c: -0.903+0.782i | Offset X/Y: -0.36/0.60 | Zoom: 0.10
Layer 2 -> c: -0.035+0.027i | Offset X/Y: -0.59/-0.13 | Zoom: 0.10
Layer 3 -> c: 0.403-0.496i | Offset X/Y: 0.47/-1.14 | Zoom: 0.92
Layer 4 -> c: 0.254-0.830i | Offset X/Y: -0.34/-0.54 | Zoom: 0.13
Layer 5 -> c: 0.816-0.508i | Offset X/Y: -1.15/0.49 | Zoom: 0.45
Layer 6 -> c: -0.818-0.746i | Offset X/Y: -0.79/1.33 | Zoom: 0.27
Layer 7 -> c: -0.698+0.558i | Offset X/Y: 0.72/-0.71 | Zoom: 0.30
Layer 8 -> c: -0.903+0.061i | Offset X/Y: -0.81/-1.02 | Zoom: 0.67

Generation 17 | MSE: 1653.80 | Genotype: 
Layer 1 -> c: -0.903+0.782i | Offset X/Y: -0.36/0.60 | Zoom: 0.10
Layer 2 -> c: -0.035+0.027i | Offset X/Y: -0.59/-0.13 | Zoom: 0.10
Layer 3 -> c: 0.403-0.496i | Offset X/Y: 0.47/-1.14 | Zoom: 0.92
Layer 4 -> c: 0.254-0.830i | Offset X/Y: -0.34/-0.54 | Zoom: 0.13
Layer 5 -> c: 0.816-0.508i | Offset X/Y: -1.15/0.49 | Zoom: 0.45
Layer 6 -> c: -0.818-0.746i | Offset X/Y: -0.79/1.33 | Zoom: 0.27
Layer 7 -> c: -0.698+0.558i | Offset X/Y: 0.72/-0.71 | Zoom: 0.30
Layer 8 -> c: -0.903+0.061i | Offset X/Y: -0.81/-1.02 | Zoom: 0.67

Generation 18 | MSE: 1653.80 | Genotype: 
Layer 1 -> c: -0.903+0.782i | Offset X/Y: -0.36/0.60 | Zoom: 0.10
Layer 2 -> c: -0.035+0.027i | Offset X/Y: -0.59/-0.13 | Zoom: 0.10
Layer 3 -> c: 0.403-0.496i | Offset X/Y: 0.47/-1.14 | Zoom: 0.92
Layer 4 -> c: 0.254-0.830i | Offset X/Y: -0.34/-0.54 | Zoom: 0.13
Layer 5 -> c: 0.816-0.508i | Offset X/Y: -1.15/0.49 | Zoom: 0.45
Layer 6 -> c: -0.818-0.746i | Offset X/Y: -0.79/1.33 | Zoom: 0.27
Layer 7 -> c: -0.698+0.558i | Offset X/Y: 0.72/-0.71 | Zoom: 0.30
Layer 8 -> c: -0.903+0.061i | Offset X/Y: -0.81/-1.02 | Zoom: 0.67

Generation 19 | MSE: 1653.80 | Genotype: 
Layer 1 -> c: -0.903+0.782i | Offset X/Y: -0.36/0.60 | Zoom: 0.10
