Target Image: skull
Final Best MSE: 3197.65
--------------------------------
Evolutionary History for skull
=========================================
Generation 0 | MSE: 8003.59 | Genotype: 
Layer 2 -> c: -0.903-0.060i | Offset X/Y: 0.36/0.56 | Zoom: 0.79
Layer 3 -> c: 0.402+0.714i | Offset X/Y: -0.05/1.51 | Zoom: 1.52
Layer 4 -> c: -0.106+0.978i | Offset X/Y: -0.25/1.53 | Zoom: 0.67
Layer 5 -> c: 0.217-0.059i | Offset X/Y: 0.06/-0.81 | Zoom: 0.37
Layer 6 -> c: 0.317-0.295i | Offset X/Y: 0.29/-0.09 | Zoom: 0.73
Layer 7 -> c: 0.063-0.044i | Offset X/Y: -0.82/1.01 | Zoom: 0.82
Layer 8 -> c: 0.692+0.091i | Offset X/Y: -0.95/-0.01 | Zoom: 0.92

Generation 11 | MSE: 5794.16 | Genotype: 
Layer 1 -> c: 0.064-0.337i | Offset X/Y: -0.92/-0.57 | Zoom: 1.07
Layer 2 -> c: -0.903-0.060i | Offset X/Y: 0.36/0.56 | Zoom: 0.79
Layer 3 -> c: 0.402+0.714i | Offset X/Y: -0.05/1.51 | Zoom: 1.52
Layer 4 -> c: -0.106+0.978i | Offset X/Y: -0.25/1.53 | Zoom: 0.67
Layer 5 -> c: 0.217-0.059i | Offset X/Y: 0.06/-0.81 | Zoom: 0.37
Layer 6 -> c: 0.317-0.295i | Offset X/Y: 0.29/-0.09 | Zoom: 0.73
Layer 7 -> c: 0.063-0.044i | Offset X/Y: -0.82/1.01 | Zoom: 0.82
Layer 8 -> c: 0.692+0.091i | Offset X/Y: -0.95/-0.01 | Zoom: 0.92

Generation 12 | MSE: 5778.69 | Genotype: 
Layer 1 -> c: -0.220+0.152i | Offset X/Y: 0.90/0.82 | Zoom: 0.40
Layer 2 -> c: 0.879-0.634i | Offset X/Y: -0.18/1.27 | Zoom: 0.40
Layer 3 -> c: -1.000+0.868i | Offset X/Y: -0.56/1.03 | Zoom: 0.53
Layer 4 -> c: -0.751+0.530i | Offset X/Y: -1.01/-1.70 | Zoom: 0.27
Layer 5 -> c: 0.626-0.595i | Offset X/Y: -0.61/0.42 | Zoom: 0.86
Layer 6 -> c: -0.953-0.450i | Offset X/Y: -0.53/0.70 | Zoom: 0.25
Layer 7 -> c: -1.000-0.277i | Offset X/Y: -1.26/0.09 | Zoom: 1.98
Layer 8 -> c: -0.366+0.804i | Offset X/Y: 0.58/-1.50 | Zoom: 0.93

Generation 13 | MSE: 5778.69 | Genotype: 
Layer 1 -> c: -0.220+0.152i | Offset X/Y: 0.90/0.82 | Zoom: 0.40
Layer 2 -> c: 0.879-0.634i | Offset X/Y: -0.18/1.27 | Zoom: 0.40
Layer 3 -> c: -1.000+0.868i | Offset X/Y: -0.56/1.03 | Zoom: 0.53
Layer 4 -> c: -0.751+0.530i | Offset X/Y: -1.01/-1.70 | Zoom: 0.27
Layer 5 -> c: 0.626-0.595i | Offset X/Y: -0.61/0.42 | Zoom: 0.86
Layer 6 -> c: -0.953-0.450i | Offset X/Y: -0.53/0.70 | Zoom: 0.25
Layer 7 -> c: -1.000-0.277i | Offset X/Y: -1.26/0.09 | Zoom: 1.98
Layer 8 -> c: -0.366+0.804i | Offset X/Y: 0.58/-1.50 | Zoom: 0.93

Generation 14 | MSE: 5778.69 | Genotype: 
Layer 1 -> c: -0.220+0.152i | Offset X/Y: 0.90/0.82 | Zoom: 0.40
Layer 2 -> c: 0.879-0.634i | Offset X/Y: -0.18/1.27 | Zoom: 0.40
Layer 3 -> c: -1.000+0.868i | Offset X/Y: -0.56/1.03 | Zoom: 0.53
