Target Image: IS-blackhole
Final Best MSE: 1354.54
--------------------------------
Evolutionary History for IS-blackhole
=========================================
Generation 0 | MSE: 8047.74 | Genotype: 
Layer 1 -> c: -0.403-0.605i | Offset X/Y: -1.42/0.71 | Zoom: 0.10
Layer 2 -> c: -0.465+0.285i | Offset X/Y: -1.46/-1.10 | Zoom: 0.10
Layer 3 -> c: -1.000+1.000i | Offset X/Y: -1.07/2.52 | Zoom: 0.10
Layer 4 -> c: 1.000-0.676i | Offset X/Y: -1.18/-0.29 | Zoom: 1.54
Layer 5 -> c: -0.436+0.121i | Offset X/Y: -0.47/0.22 | Zoom: 0.42
Layer 6 -> c: -0.421-0.154i | Offset X/Y: -1.75/0.62 | Zoom: 0.10
Layer 7 -> c: 0.669+0.076i | Offset X/Y: -1.05/0.70 | Zoom: 1.00
Layer 8 -> c: -0.319-0.711i | Offset X/Y: -0.55/0.67 | Zoom: 0.25

Generation 25 | MSE: 3118.36 | Genotype: 
Layer 1 -> c: -0.403-0.605i | Offset X/Y: -1.42/0.71 | Zoom: 0.10
Layer 2 -> c: -0.465+0.285i | Offset X/Y: -1.46/-1.10 | Zoom: 0.10
Layer 3 -> c: -1.000+1.000i | Offset X/Y: -1.07/2.52 | Zoom: 0.10
Layer 4 -> c: 1.000-0.676i | Offset X/Y: -1.18/-0.29 | Zoom: 1.54
Layer 5 -> c: -0.436+0.121i | Offset X/Y: -0.47/0.22 | Zoom: 0.42
Layer 6 -> c: -0.421-0.154i | Offset X/Y: -1.75/0.62 | Zoom: 0.10
Layer 7 -> c: 0.669+0.076i | Offset X/Y: -1.05/0.70 | Zoom: 1.00
Layer 8 -> c: -0.319-0.711i | Offset X/Y: -0.55/0.67 | Zoom: 0.25

Generation 26 | MSE: 3118.36 | Genotype: 
Layer 1 -> c: -0.403-0.605i | Offset X/Y: -1.42/0.71 | Zoom: 0.10
Layer 2 -> c: -0.465+0.285i | Offset X/Y: -1.46/-1.10 | Zoom: 0.10
Layer 3 -> c: -1.000+1.000i | Offset X/Y: -1.07/2.52 | Zoom: 0.10
Layer 4 -> c: 1.000-0.676i | Offset X/Y: -1.18/-0.29 | Zoom: 1.54
Layer 5 -> c: -0.436+0.121i | Offset X/Y: -0.47/0.22 | Zoom: 0.42
Layer 6 -> c: -0.421-0.154i | Offset X/Y: -1.75/0.62 | Zoom: 0.10
Layer 7 -> c: 0.669+0.076i | Offset X/Y: -1.05/0.70 | Zoom: 1.00
Layer 8 -> c: -0.319-0.711i | Offset X/Y: -0.55/0.67 | Zoom: 0.25

Generation 27 | MSE: 3118.36 | Genotype: 
Layer 1 -> c: -0.403-0.605i | Offset X/Y: -1.42/0.71 | Zoom: 0.10
Layer 2 -> c: -0.465+0.285i | Offset X/Y: -1.46/-1.10 | Zoom: 0.10
Layer 3 -> c: -1.000+1.000i | Offset X/Y: -1.07/2.52 | Zoom: 0.10
Layer 4 -> c: 1.000-0.676i | Offset X/Y: -1.18/-0.29 | Zoom: 1.54
Layer 5 -> c: -0.436+0.121i | Offset X/Y: -0.47/0.22 | Zoom: 0.42
Layer 6 -> c: -0.421-0.154i | Offset X/Y: -1.75/0.62 | Zoom: 0.10
Layer 7 -> c: 0.669+0.076i | Offset X/Y: -1.05/0.70 | Zoom: 1.00
Layer 8 -> c: -0.319-0.711i | Offset X/Y: -0.55/0.67 | Zoom: 0.25

Generation 28 | MSE: 3118.36 | Genotype: 
Layer 1 -> c: -0.403-0.605i | Offset X/Y: -1.42/0.71 | Zoom: 0.10
Layer 2 -> c: -0.465+0.285i | Offset X/Y: -1.46/-1.10 | Zoom: 0.10
Layer 3 -> c: -1.000+1.000i | Offset X/Y: -1.07/2.52 | Zoom: 0.10
Layer 4 -> c: 1.000-0.676i | Offset X/Y: -1.18/-0.29 | Zoom: 1.54
Layer 5 -> c: -0.436+0.121i | Offset X/Y: -0.47/0.22 | Zoom: 0.42
Layer 6 -> c: -0.421-0.154i | Offset X/Y: -1.75/0.62 | Zoom: 0.10
Layer 7 -> c: 0.669+0.076i | Offset X/Y: -1.05/0.70 | Zoom: 1.00
Layer 8 -> c: -0.319-0.711i | Offset X/Y: -0.55/0.67 | Zoom: 0.25

Generation 29 | MSE: 3067.57 | Genotype: 
Layer 1 -> c: -0.763+0.156i | Offset X/Y: -0.22/0.01 | Zoom: 0.10
Layer 2 -> c: -0.465+1.000i | Offset X/Y: -0.14/-0.31 | Zoom: 0.10
Layer 3 -> c: -0.986+1.000i | Offset X/Y: -0.47/-0.39 | Zoom: 0.42
Layer 4 -> c: -0.229-0.308i | Offset X/Y: -0.72/0.84 | Zoom: 0.10
Layer 5 -> c: -0.076+1.000i | Offset X/Y: -1.26/1.45 | Zoom: 0.63
Layer 6 -> c: 1.000+0.310i | Offset X/Y: -0.88/0.56 | Zoom: 0.72
Layer 7 -> c: 0.666-0.077i | Offset X/Y: -1.49/0.29 | Zoom: 1.66
Layer 8 -> c: -0.891-0.917i | Offset X/Y: -0.97/-1.01 | Zoom: 0.26

Generation 30 | MSE: 3036.99 | Genotype: 
Layer 1 -> c: -0.145+1.000i | Offset X/Y: -1.42/1.47 | Zoom: 0.10
Layer 2 -> c: 1.000+0.185i | Offset X/Y: -1.00/2.48 | Zoom: 0.35
Layer 3 -> c: 0.195+1.000i | Offset X/Y: -0.32/0.09 | Zoom: 0.10
Layer 4 -> c: -0.168-0.413i | Offset X/Y: -1.18/0.04 | Zoom: 1.50
Layer 5 -> c: 0.871-0.843i | Offset X/Y: -1.70/0.98 | Zoom: 0.36
Layer 6 -> c: -1.000+0.320i | Offset X/Y: 1.34/0.34 | Zoom: 0.10
Layer 7 -> c: 0.702-1.000i | Offset X/Y: -1.01/0.29 | Zoom: 1.32
Layer 8 -> c: -0.958-0.770i | Offset X/Y: -0.48/-0.56 | Zoom: 0.25

Generation 31 | MSE: 3036.99 | Genotype: 
