Target Image: blackhole
Final Best MSE: 643.20
--------------------------------
Evolutionary History for blackhole
=========================================
Generation 0 | MSE: 5807.06 | Genotype: 
Generation 15 | MSE: 1435.56 | Genotype: 
Layer 1 -> c: -0.662-0.349i | Offset X/Y: 0.26/-1.13 | Zoom: 0.10
Layer 2 -> c: 0.197+0.449i | Offset X/Y: -0.04/0.13 | Zoom: 0.59
Layer 3 -> c: -0.520-0.314i | Offset X/Y: -0.15/-0.52 | Zoom: 0.10
Layer 4 -> c: -0.602+0.991i | Offset X/Y: 1.97/-1.18 | Zoom: 0.34
Layer 5 -> c: -0.798+0.560i | Offset X/Y: 0.12/0.15 | Zoom: 0.26
Layer 6 -> c: -0.722+0.879i | Offset X/Y: 1.19/1.03 | Zoom: 0.26

Generation 16 | MSE: 1435.56 | Genotype: 
Layer 1 -> c: -0.662-0.349i | Offset X/Y: 0.26/-1.13 | Zoom: 0.10
Layer 2 -> c: 0.197+0.449i | Offset X/Y: -0.04/0.13 | Zoom: 0.59
Layer 3 -> c: -0.520-0.314i | Offset X/Y: -0.15/-0.52 | Zoom: 0.10
Layer 4 -> c: -0.602+0.991i | Offset X/Y: 1.97/-1.18 | Zoom: 0.34
Layer 5 -> c: -0.798+0.560i | Offset X/Y: 0.12/0.15 | Zoom: 0.26
Layer 6 -> c: -0.722+0.879i | Offset X/Y: 1.19/1.03 | Zoom: 0.26

Generation 17 | MSE: 1435.56 | Genotype: 
Layer 1 -> c: -0.662-0.349i | Offset X/Y: 0.26/-1.13 | Zoom: 0.10
Layer 2 -> c: 0.197+0.449i | Offset X/Y: -0.04/0.13 | Zoom: 0.59
Layer 3 -> c: -0.520-0.314i | Offset X/Y: -0.15/-0.52 | Zoom: 0.10
Layer 4 -> c: -0.602+0.991i | Offset X/Y: 1.97/-1.18 | Zoom: 0.34
Layer 5 -> c: -0.798+0.560i | Offset X/Y: 0.12/0.15 | Zoom: 0.26
Layer 6 -> c: -0.722+0.879i | Offset X/Y: 1.19/1.03 | Zoom: 0.26

Generation 18 | MSE: 1435.56 | Genotype: 
Layer 1 -> c: -0.662-0.349i | Offset X/Y: 0.26/-1.13 | Zoom: 0.10
Layer 2 -> c: 0.197+0.449i | Offset X/Y: -0.04/0.13 | Zoom: 0.59
Layer 3 -> c: -0.520-0.314i | Offset X/Y: -0.15/-0.52 | Zoom: 0.10
Layer 4 -> c: -0.602+0.991i | Offset X/Y: 1.97/-1.18 | Zoom: 0.34
Layer 5 -> c: -0.798+0.560i | Offset X/Y: 0.12/0.15 | Zoom: 0.26
Layer 6 -> c: -0.722+0.879i | Offset X/Y: 1.19/1.03 | Zoom: 0.26

Generation 19 | MSE: 1435.56 | Genotype: 
Layer 1 -> c: -0.662-0.349i | Offset X/Y: 0.26/-1.13 | Zoom: 0.10
Layer 2 -> c: 0.197+0.449i | Offset X/Y: -0.04/0.13 | Zoom: 0.59
Layer 3 -> c: -0.520-0.314i | Offset X/Y: -0.15/-0.52 | Zoom: 0.10
Layer 4 -> c: -0.602+0.991i | Offset X/Y: 1.97/-1.18 | Zoom: 0.34
Layer 5 -> c: -0.798+0.560i | Offset X/Y: 0.12/0.15 | Zoom: 0.26
Layer 6 -> c: -0.722+0.879i | Offset X/Y: 1.19/1.03 | Zoom: 0.26

Generation 20 | MSE: 1360.48 | Genotype: 
Layer 1 -> c: 0.337+0.297i | Offset X/Y: -0.33/1.96 | Zoom: 0.17
Layer 2 -> c: 0.213+0.079i | Offset X/Y: -0.11/-0.20 | Zoom: 0.53
Layer 3 -> c: -0.719-0.243i | Offset X/Y: 0.54/0.26 | Zoom: 0.10
Layer 4 -> c: -0.257+0.890i | Offset X/Y: -0.20/-0.55 | Zoom: 0.10
Layer 5 -> c: -0.588+0.522i | Offset X/Y: -0.49/-0.35 | Zoom: 0.10
Layer 6 -> c: -0.389-1.000i | Offset X/Y: 1.03/-0.10 | Zoom: 0.49

Generation 21 | MSE: 1360.48 | Genotype: 
Layer 1 -> c: 0.337+0.297i | Offset X/Y: -0.33/1.96 | Zoom: 0.17
Layer 2 -> c: 0.213+0.079i | Offset X/Y: -0.11/-0.20 | Zoom: 0.53
Layer 3 -> c: -0.719-0.243i | Offset X/Y: 0.54/0.26 | Zoom: 0.10
Layer 4 -> c: -0.257+0.890i | Offset X/Y: -0.20/-0.55 | Zoom: 0.10
Layer 5 -> c: -0.588+0.522i | Offset X/Y: -0.49/-0.35 | Zoom: 0.10
Layer 6 -> c: -0.389-1.000i | Offset X/Y: 1.03/-0.10 | Zoom: 0.49

Generation 22 | MSE: 1360.48 | Genotype: 
Layer 1 -> c: 0.337+0.297i | Offset X/Y: -0.33/1.96 | Zoom: 0.17
Layer 2 -> c: 0.213+0.079i | Offset X/Y: -0.11/-0.20 | Zoom: 0.53
Layer 3 -> c: -0.719-0.243i | Offset X/Y: 0.54/0.26 | Zoom: 0.10
Layer 4 -> c: -0.257+0.890i | Offset X/Y: -0.20/-0.55 | Zoom: 0.10
Layer 5 -> c: -0.588+0.522i | Offset X/Y: -0.49/-0.35 | Zoom: 0.10
Layer 6 -> c: -0.389-1.000i | Offset X/Y: 1.03/-0.10 | Zoom: 0.49

Generation 23 | MSE: 1360.48 | Genotype: 
Layer 1 -> c: 0.337+0.297i | Offset X/Y: -0.33/1.96 | Zoom: 0.17
Layer 2 -> c: 0.213+0.079i | Offset X/Y: -0.11/-0.20 | Zoom: 0.53
Layer 3 -> c: -0.719-0.243i | Offset X/Y: 0.54/0.26 | Zoom: 0.10
Layer 4 -> c: -0.257+0.890i | Offset X/Y: -0.20/-0.55 | Zoom: 0.10
Layer 5 -> c: -0.588+0.522i | Offset X/Y: -0.49/-0.35 | Zoom: 0.10
