Target Image: helix_nebula
Final Best MSE: 338.06
--------------------------------
Evolutionary History for helix_nebula
=========================================
Generation 0 | MSE: 3269.90 | Genotype: 
Layer 5 -> c: 0.704+0.258i | Offset X/Y: -0.35/-0.20 | Zoom: 0.47
Layer 6 -> c: -0.103-0.624i | Offset X/Y: -0.75/0.23 | Zoom: 0.10

Generation 21 | MSE: 766.36 | Genotype: 
Layer 1 -> c: -0.667+0.154i | Offset X/Y: 0.11/-0.07 | Zoom: 0.37
Layer 2 -> c: -1.000+0.268i | Offset X/Y: 0.64/-0.24 | Zoom: 0.10
Layer 3 -> c: -1.000-0.484i | Offset X/Y: 0.74/-0.30 | Zoom: 0.65
Layer 4 -> c: 0.327+0.937i | Offset X/Y: -0.62/-0.29 | Zoom: 0.55
Layer 5 -> c: -0.004-0.173i | Offset X/Y: -0.49/0.26 | Zoom: 0.51
Layer 6 -> c: -0.248-1.000i | Offset X/Y: -0.86/0.24 | Zoom: 0.41

Generation 22 | MSE: 766.36 | Genotype: 
Layer 1 -> c: -0.667+0.154i | Offset X/Y: 0.11/-0.07 | Zoom: 0.37
Layer 2 -> c: -1.000+0.268i | Offset X/Y: 0.64/-0.24 | Zoom: 0.10
Layer 3 -> c: -1.000-0.484i | Offset X/Y: 0.74/-0.30 | Zoom: 0.65
Layer 4 -> c: 0.327+0.937i | Offset X/Y: -0.62/-0.29 | Zoom: 0.55
Layer 5 -> c: -0.004-0.173i | Offset X/Y: -0.49/0.26 | Zoom: 0.51
Layer 6 -> c: -0.248-1.000i | Offset X/Y: -0.86/0.24 | Zoom: 0.41

Generation 23 | MSE: 766.36 | Genotype: 
Layer 1 -> c: -0.667+0.154i | Offset X/Y: 0.11/-0.07 | Zoom: 0.37
Layer 2 -> c: -1.000+0.268i | Offset X/Y: 0.64/-0.24 | Zoom: 0.10
Layer 3 -> c: -1.000-0.484i | Offset X/Y: 0.74/-0.30 | Zoom: 0.65
Layer 4 -> c: 0.327+0.937i | Offset X/Y: -0.62/-0.29 | Zoom: 0.55
Layer 5 -> c: -0.004-0.173i | Offset X/Y: -0.49/0.26 | Zoom: 0.51
